id,id,AgeGroup,Gender,CountryCode,TopGame,Subscription
88,8943,Z,wImzxuQgSk,-5010,KNMvf5;QMWxxJ;VvwoeZ,8655;8617
89,-2181,JCZbvN,cipUn,9237,RBlqZDqti,9794;-702
90,4691,nIe,VYV,1039,yhQBdouCii;JON4t2l3w9,9107;-7784;2951
91,552,acf,2,4263,0rkI;E69W;GQ6E,-1668;-356
92,8705,ktcyYStW,HKI,-9201,P1y6RP;Q1Oz8X;xNT4LX,3050;-3359;9070
93,-6727,TP0,neU,-4002,IKsCmhA,1011;2309
94,-2087,mfxEnX,SIT6OxECpf,8276,He4;Lt6;zyM,-5227;9169
95,-2498,weEsO,qC3rypF,-7660,bwznUh9oQo;Owu72999Vm;2pn6CjcjY0,-1531;6641
96,-7974,ucLQDysQF,7,-2537,buMjB,-5552;-674
97,7912,NJU,GG,3382,OnYc04dK7;yLX5DZroz;UCburZQVA,252;1477;-1193
98,-6128,z9O3UyzQ,K4d,-3384,qDO1,1016
99,-6554,Ge09YSa,jOfNwgEdT,5355,rlV,2387
100,9613,M2b,k,643,a7xFI;GfRH8;iNjPE,6471;-3206
101,-9493,tE,Q0R,6335,2zHXwBlB;DjPGT3D8,3104;-6493
102,-3177,LeLXavQ9Cw,RRXo9h2Lw,3893,5pR3rPywJV;N7rFbfPr1J;WnzESABhfC,-8536;7732;7213
103,6505,LZNHqyc,WcIgcB7Sm,-4577,GuKYYYpjw;2G0vnij6l;heLsDJNmw,2559;-3919
104,-9409,bqrqbJNW7,aF,5903,uDPMQjA6e;SbUKAeRxE,-5209;8586
105,1454,QC6ldT2V,edpG8Iniq,-540,r6,-7255
106,-1514,wieFm,b2tD,9459,enQY,3401
107,2526,tCYE8fhENm,hhjTqABHI,7146,4egV;0MNj;VixS,2669
108,-4445,emVJZb4,N,-2060,xErK6hV;rwTcSgH;fAWOeUe,-4351
109,-5482,5oochpq7,EKu7,-6370,qi0mc7jC97,-1391;-8175;2083
110,808,0YJXr,zbY3,-2437,k6Fc;UsmC;ZKi6,-2252;3401;-5928
111,558,Y1buIbI,x9,-5452,ZXvW;t1KG,-2663;806;9238
112,2908,sCh,4,2569,ifz;9JQ,-8501
113,-3214,flWddnue,I,4111,hK;qV;Yr,-8679;-2184;-655
114,7902,rJXxVBq1,Thj0cFiR,939,o;C;c,-2730;8643
115,-3470,kDKjlg,9Ic0,-1846,StT2j,-4351;-2628;-4145
116,-1726,Pj37pX,t,-3354,sNKzCKi,4246;-3893;-9749
117,-4634,wVsCR8,pwpK0R,8950,MQ3K;WJxR,8041
118,-2084,hPHxDxTP4,SF,9421,A3DZ,-2654;-1511
119,-6125,FxrzYz,m,3070,Y;S;f,-3389;-5708;9424
120,-4955,CtC1pq3JKa,oQnF,354,yM0;XYU;Ban,3937
121,8116,ZLbh,DHWCSVfgXV,3561,bz6PbH;B9RBah;PUkcBh,-1048
122,1151,nU,JrkQ,1536,QhTu;zCE8,-7731;-450;-9519
123,2524,hfpqc7MgU,ZbBbnC,-9727,sCVqhbCDF;hbRvBMs5z,9145;-4807
124,-1973,VgpF4nR8,jHXvWPgEc,1778,VkDAAac;c1LW9sg;UG00A1J,-390;4584
125,-7831,msDS8,3E97CczK,-1931,R,9176;6203
126,-9278,d0,ssE7a1a,416,MsYRJ;EpfJe,5132
127,8758,Ygdp0BBx,J6f,-1479,R;Q,2739;-7203;974
128,5925,M29ajwls,zc2OEecAp,-982,Hnpb,1025;1917;-7090
129,-5381,WPZ99,z5lEl,9182,HE;Mu,2105
130,-7096,Jsu7,AeO,5016,elpvGy4,3886;5045;2355
131,7583,ZH9Ux9y,xclzGi,9027,IcYsVBTD7;m9P4txrS7;wAMyb6Rlb,-1570;1102
132,9414,3g860oXhX,lAVF,-617,8Jzf,-1584;3272;-3922
133,-4434,h,r7djuWZcT,7433,2u0298sw;KUJillto;OBPfjG04,8472
134,-3099,beQXv5,hNvt01hil,-4320,HwpMRWru3,-9617;-2062;4341
135,-1729,bKpyAN7a,CUCEHXZoy,7288,3E,3283
136,-3938,vlL,BB9Wu,8912,ibW;tCQ;AQb,-5408;3659;-191
137,887,MZ7l,utcYSV,-6783,JqyrCB7,1739;-2090
138,3278,MbDUFn4W,mMK,-1470,kN85nXdP;2YhKbwSG;5QbuHoUB,-628;-8659;-2817
139,-5199,BSnjSeJ,6lRWVtyDcJ,6186,Yrv,178;-4542;3106
140,318,IeK,lS7,-3956,u7j8x,-5592;-293
141,9859,C2uO,Y,-5133,p1VcoX4Hfe;lhKKbgqDSe,-7656;-52;8239
142,-4824,LGFW,2gg,3907,NFCaoWcU;E53bxhkJ,1566
143,-6007,D8,SLOvzsL6s,-4155,Mox8e;LdHgr,8432;3449;-5735
144,-82,KSWHN4eGeY,S5eVLGgQ,7204,JY5LkzWya;m5mAVVw8w;vuGtaW0jT,-4850;3033
145,-4284,yzNji98Yla,DTfRP,8439,1lV,1909
146,-7812,Lz8fdis,b,-731,a;v,-7408
147,5123,cAysdT,n3aXr0A,-2873,PTny;5BAH;1Vm1,-9878;-5868
148,4804,V3douLPZF,KE,-5229,aJjkknmBVE;UcsPgnJDbX;wzim0CHves,8490;-414;-8235
149,1393,f2mMSg,3u8jWj,-9159,X;P;J,6428
150,-9305,HCjh2ep,20YGnX,-2176,UyaQ;FNzG,3808;-5679;-4321
151,5556,ZbAi30Xq3,DZHl7,-8357,QojxvXmLW,-7064
152,3467,1JL6n,IK,8816,6jx,-6165;-3364
153,6083,co5Li,k,-8029,hgCjg9E,2778
154,1312,4SgZ,Pzf82j,-2662,nrAB3;dBfL6,-51
155,-203,qYfrlYqdAx,H,6334,dHrEalwi;Na2RbMY4;XtyUEIgb,5537;-7604;-6437
156,-4013,GIJT9,x66HJ,3930,uwcPJ;KjoST,-1376;-3452
157,3324,QUqemVhXZz,VXqdVi,5812,z3Fqp,-3493
158,6778,T6QHbvwup,BrQ,-4461,PpyvUJa;gLVgHnC;bgRHQf9,6955;-6959;-316
159,-715,S,QsaLwuGFVd,-7809,iOyhkAKnEa,-4056;-9667;-2252
160,8418,3zljdee,zH,-1110,X6en6ubAL,-1241
161,5876,K,7,7678,5C8ZX;byXlE,5438
162,9035,JG,rZkj51XOdY,4751,F3SA6k1SgS;MZhIwSUjL6,-3930;-1613
163,2920,0q4,7Hx,-5342,QFv4NZ;nMHeU1;etilwx,5944;-9729
164,4285,zZAQp,Babqe,-6919,W6n,1041;4808;-4370
165,1619,EmCsOBe3Ci,5Pi94WX,4543,OM2lkUKu;VSwd0mIm,-3379;3194
166,-669,FgslPjYy,kavWmno,5540,8;j;5,-7937;326;-6888
167,-4423,vDaXwBB0,q1,-3720,W;z;j,-7357
168,-7173,cs9XK,4Dez,7990,hroc9DgD;IG8UuMQC;KBOdqEZO,8333;1221;-4803
169,-3324,NwYOTBivQl,u,-8569,yQ1JOq8O,339;-9411
170,4745,SPOgOS,q,-1978,aJ,3095;1249
171,-1752,Mhoi,tLcB,-5542,ZLdYN0T;f7NvIjf,1711;4427;-726
172,-1903,nef5,OFl,-1505,r;j;7,9594;-14
173,-2507,JYhhoNU,6,620,anor7Kv,817;6878;2418
174,7311,Xjwc6zW,7xEPASZ,-9979,CrQYCfcZG;9wNg90Oet,3153
175,-255,49LL,ga0N678C9,-1093,kOvUwrA;HbuQ3U4;kfsYaGt,-8928;1565;-9254
176,-3783,4dSPVNQg7l,HCT,-8084,qhnAeIJ;MQiyB6h,6290
177,-1720,KJqVVati,GjCnFDxtP,-8880,aFnnrdqRUI;gKlFdDnAoN;zehZg5IJUc,-129;-7797
178,-9412,B,zOAj5F,-7025,NisD;DGoQ,5208;4238;1150
179,3003,g9hpaIyai,uBV2,-8229,ZvgWT6h4N;3s8B5eBGX;9UyhuWPDt,-1994;-3841;5744
180,-1630,5,O,1626,D9;gH;9S,-675;8690;1270
181,905,5xUEG9sXS,FHh,-7831,6kTsG,5569;5509;-1902
182,9687,dy6hoa5a,WSK,-7662,FkRZWjsJ8I;YzUmzcgYg4;6e9j6UIIHg,7609
183,5875,USsANs3FV2,r5AG,-2039,0,-313;743
184,749,MvB2J,hfY2nv5Zd0,-1182,aB0bDIS9yP,-2955;-5388
185,6153,x,8HuWMuY,3467,zLT40L3;PuyzujW;S0v0PfA,-9940;1524
186,4769,N,tu8O,2247,Za;No;2u,-4316;-6687;-5588
187,-5770,fmdhTT4M6,QN60I,1456,6U6SBQ9mK,7549;-1562;-9913
188,3593,wv,NAgq0FeKZ,3124,ZGTGLD,-5140;7416
189,4694,2i6ybP1,6JnKUMgF6,-8881,026;AfF,4822;20
190,4047,nKPvxH,wv,-9169,h;8;g,-811;8608
191,-760,JGX,M43Qr,-908,Vygz71Lb;VfkheKb2,977;2527
192,-638,s,wwix8i,-3850,mq9kGC8Rqu;G5QVfOYmYk;1W3nDDeZm2,-5375;8447
193,1022,5K7GgFHXK,K,-5546,DdEcDzVF;vwi3kmoX;aHrm9FJg,561;-4204
194,-366,9EgI06ltu,Esh1nlYW,1170,e4HZI7M;CnfQBHa,-4364;-6044;-5249
195,-807,yqBCk,ea,2997,NSIdBiES6,5054
196,4068,LBEx,MVq5kt,5207,mKloR1;TwX2kl,-6991;4017
197,1916,KD8K,It,4815,MM;mK,249;-6511;3904
198,551,T,6LwS4,6362,x7;EB;Tt,6637;4972
199,-916,VTCiIb,kichph9PP,4209,xa,2781
200,9932,2fs5cK59,vupwY2yC,-5447,NT9T80,8045;238
201,3123,5G5sJz,FQ,-5191,SOeNEO;lPtpxC,5395
202,9172,7zQsEP2dsL,AAIBorl,-2783,ujpP3J,6
203,-4083,LTDZby,y,-7956,ribGvV6XoL,2441
204,-5378,7aQKrR,s,7374,PFbK2AJS;yG2IZtzw,6068;4270;6089
205,-7156,sK5m4,5UPY,5274,EJh1IaT0i9,4040;-2578
206,4623,n8p5nnT,hoKrjJ,2353,vUqa5fg;VScfHCa,-2826;8364;-6856
207,1368,HvkZ4gziJD,Ejzv,7068,nznV,4532
208,4754,dv,Fmxz,1420,Q3Sj6xgp3;0erIv4A9B,6003
209,-4825,Sx2LGcF,Kc3Ig6G3,3615,U232Ls4KVZ;webNxN5SIj;18TNXzUpX3,-3679
210,-4570,p,p0h4QijOUh,8678,KL9bBNkdu4;d6TfpzttIt;7BvQOTFwjE,7759
211,5598,ginsyEnbs,k6nY5H,7294,Rq6Whf,-8062;-5985;781
212,-5527,A0nKYYj,CX,2461,qpJK89;8QnIeZ;ji9h5o,-1695;-7927
213,-9751,KfkLTy4wz,ymvi,2071,Jishi0;en13nS,1906;4877
214,8021,rAG7,hz,2056,mccFvfEpOY,-2759;-1208;-9186
215,-2028,Jzr,D0yuDS2uZ,-6965,qi;vz;5y,9472;5025
216,7796,J,pii,509,kdWvM0X,2103
217,1884,EadY7ul1F,Y2,7135,Y;R;i,4814;5122
218,8838,2C5t,alzAttYv4,7348,LS;o3,7261;1407;1169
219,-9739,aQN,qkjDpne,-5478,UG,5449
220,-5663,xNTyb,9m27s2EDdH,-4381,XwSBSV;Z2Lnct,-5950
221,6602,hzBH33UTnl,InH,652,I;E;6,-2173
222,-8697,OmJN,0eakl,4670,0JttaVznrD,-6412;-4103;-2260
223,-803,Ght59w,FowfFM7CH0,9724,B;i;L,-4789;-4291
224,-4881,suJuX5,PfW3Z4Wi8k,-2133,mlmPh;Gluxk;4An5A,-5140;-3744;-8509
225,6153,mpzpL,7rT1G,-4662,07thJ3j8j;tBWRq3HDz,-6435;4782;-2991
226,9824,uYX,Br1nb936,-6666,M;C;1,-4048
227,1292,aT,SaS,5482,xezO;pGA4,-9005;-5187
228,1946,YkRanGxG,oZW,-9390,pNxcq;axAzt;HAt86,9230;4935;-4556
229,-295,iURoxOZv,ymkEf,-1452,W4HqO6,-4032
230,-192,MGbPMd2,feCujnP,7054,Kmt;1Ky;J9D,487;-4030;-6541
231,-8661,Ewn23W2ZNV,6javGMqV6J,8196,gpv7spLf9;4vA8ybcpi;9wyUsyWXF,2142
232,-1593,Z,bim6tT,4572,vThpzL;l7QiGo,4439;-6732;4787
233,6277,k7kEeO0x,K,-3234,h;N;9,-9794;6228;8913
234,-3586,U,N,2076,ej3trGU;WwjxweV,9682;4472;7328
235,458,r,yxE,9557,bXAw2L,-7492
236,-3123,7l7cgfLU,yLfTwjVYbo,-8631,FhcQ8zv,6514;472;-4171
237,1362,2AXeN,wePmDT,-4364,ocj1TkTv14;dboLayUib5,-5581
238,3149,qwO,AXnk8L,8432,cOZW4iL;rc6OSql;UU6c5ld,-4500;7050
239,-4160,kytAJH,0,-8465,TxOxH;qZSBJ;W8he1,4383;-8002
240,9055,b9tqTu47h,lZ3tRT,7078,1lUuESYY,5638;7174
241,-4375,pEUyy9f,msBc01APJ,-3086,IqAqji;TJoUOr,5989;-3775;-5337
242,-2821,au,0QK3Y,-8560,qgy9WJkY;WYfryQIm;SgM7XYy3,8956
243,-7585,L,whd6,3789,RyWFu;pYR7x;qTzJR,-8864;-8124
244,5191,R,P87ph6rJjY,-218,78yH4AHNWx,-1206;9005;8365
245,-1522,w1,Rc,-3281,OFvr4;BQQxP;qA9r0,2069
246,1222,cHNBHpYUnD,w3lYxeTD,-3215,NxNhN,2259;3045
247,-7595,fm7GQV5Fq,HlaqJlpn,2778,NKW1cGxj,-9593;-9078;2015
248,7368,xb,UVOlqJRJ,-8843,j,-7089
249,8732,DEWexwb,hpoqHvTuq,4276,J6Zr7LMe;cOffN5hv;S0bHkJcY,-115;-8527;685
250,-7163,EzHdeHE,FRMU5Wv,-7926,IjY;DK3;jRA,-9505
251,-4190,LTQ,ZV,1592,psS9MJhlUc,6355
252,-3127,03,lJdz7PJ,1145,vuzDbIx,1124;-7171;-6279
253,5295,wmqS96Kmy,SY7,-4908,3F,-5729
254,-2532,XZ,zmSH,-4021,gZhB,-9366
255,-7090,fx4ZO,nxcPAkL,8488,I07tWbmB;KCOpLFUc;8Oj32acY,8794
256,8168,GW,B3syYj,641,H;t;k,-1079
257,7123,Jz4DPmo,i0Zf,3758,de7md9DN,4009;3577
258,7840,yCMhFoZ1,6GXUzicW0,5843,0;1,6142;7334;-4206
259,2756,zfxQU,vMnkLMt9,7204,4MWwyr;5e2OBX;KxpT4h,-3436;9836;-4993
260,3575,M1eYy5,L9v,762,MaL,-9709;-9159;-6380
261,9440,UKjhR,fMi9,1050,zxB3x;M26tI;xQFhx,2401;1623
262,911,urqBT7L,QB149hPAe,-4816,1X1cW;KF8Yn,7675
263,3107,W1bm,YwjK1lXsgd,6739,C2W,-8544
264,-6356,AiuTZ,XFb5Ya1Z,6133,IQ12Sx;v5RYGA,-3640;6998;603
265,-9658,7qH4bha,0A,-3769,OWQW9,3164;3922
266,1281,RfYMLu7TC,0v4,7992,gJE,-8842;3874
267,1259,Hh,L,9558,YC;cD;Rk,5763;4203
268,-8419,vGdxbb43,O3K,-7457,5T,4312
269,808,yDGfnn,TEU9uMLGH,9025,Ryd2wV;cWnvyA;eLAf4n,776;8979
270,-2291,vGcuui5pTR,9aBGYZE,8374,j;f,5461;4585
271,-9883,I6Emc,MIHiD31U,5877,M;p;7,201;8208
272,-737,Y,opjJki,545,1fAqc5,8326;-5737
273,-525,mhQBzrP,MwsGsZZX,9175,eZFY;pAIj;J6MC,-2232;8718;-8478
274,109,vhVKTc,cHyHj3,3180,Q,-4979
275,1950,spJ,O,816,wo;87;7W,-6943;200
276,-899,MzfHouD4o,7WA4,1913,93p,-2809;7919;-1650
277,8673,27F6w81,GZMx,-4134,G1krEw;pvDlVf;qqvUkh,-1826;-7751;-3783
278,-6686,q1aIU93tBs,js8P,5006,PfrGLjAKY;N73OGPlNe;s2wFZyWFL,804
279,6091,gfedS,Wf,9932,1yvNhlh,709;5457
280,9233,DoOaYPa,R4JM,-9646,9Ry4;iiga,2336;-7271
281,8765,uyD70X73sJ,OH,-7430,BZ0qGkd;d08J1yz,3031;-2868
282,-9350,v8,bsz5D,-802,5Y;yK;5n,4256
283,-8125,x7u,F,-6658,tKDjXz,6229;-5970
284,3524,vpkuuvz,3Qztu,-3123,5L3x;p25e,-3444;-638;5691
285,645,c,12HrjX,4690,bCfrz,-5211;-2819
286,8088,mvi3bNub,MPAX,-7463,D;Q;P,-2905
287,-6964,F0TnE,jD3SJA9lj,2743,71YIQ9;yEFWZe;aWxYoR,1842
288,340,ACFTA5JTA,vu,-1398,hewsUq;3MBq4F,6481;3708;5781
289,-2810,wdPd,8gLpLP,8948,n8L;qZW;Sjm,275;-523;-7261
290,-979,U9vJDpAH,CTj,-7385,MjsW0Z,-762;-687
291,5294,wZiGUitUu,5d6,-9366,i3SvW5;xr3eMy,6750
292,-3269,yWcsK1,XyndK9uc8,8803,8USW,8499;-2089
293,9383,KJyfDlr,6cDL,8695,2x3,-5228
294,-1486,1Y,WqNaxuFh,-2465,hgBAFC,-5069;2751
295,3013,0,Qx,3814,L4ChgwAhx;qKYa3kVQF;eu8scyMiK,5276;6450
296,4783,wscGzx,GK1Qmj,6809,71WpoFJ;FMkdcFM;w1b8IGx,-1638
297,3615,SyBNzkdvlP,zbaQlZOrkj,8249,VZvoD5,-458;-8781;-4962
298,5900,OOT2sL,m0dofRY,6971,xMj6AXAbF;DAhR6nZfX,-882;-6214
299,-4820,JCf,zxFpcc,-3785,BeCFPlyOe,-307
300,5697,SRjllmQbwU,bw,8856,6Tto;QBHL,1077;973
301,-5015,3jIq,b,9128,cO39jv;UmJF4b,-9951;-1486
302,315,9KS51CL,Jeyd6CDf,2844,WVsNRSE;rCByQEe;QWMCFk1,-2829;-9387
303,356,utZn2XO3A4,rNAWi4d,7283,jG;B8,-7375;2753
304,3663,QU7DQgpHZ0,ppi,-5581,7LpKyY;75id3Y,1073;-3024
305,4075,g,y71qwZ8,-821,RTPnSqsKP,-482;-9943
306,-1804,N,6,-8431,s78xxHqBLZ,8210;-9286;4186
307,3448,qEqgK8,gdtoTZGI,-5930,hnZjco;QiKnRF;AUegtC,-9878;-9192
308,-2923,oDKxYT8ZV,yy9qfO,-7228,azYdVSW;zfUGLBt;3GF3ADQ,3898
309,-9632,GJ1ss1d8O,QFr,8587,O1SMra;ADCxJ6;AGO8PD,546;-819;5558
310,-2601,I1t,Kss,2198,U7N4kXah76;NSHO427oUe,5528;-6864;-1422
311,4847,9pGraSl87w,8Hs5E6ocXW,3823,yejcvFKf0;OtyUHQEd7,3575;-5071
312,4256,4SpOcaHH,rWODM3Q,-418,01xWxlsOC,-8;-9311
313,-3554,s,G1rS618W,1398,NUhT;7ohB;cwiO,2539;-1405;7218
314,3757,v89xi,lPZmwubs,-4270,2yA,3399;-2875;-7767
315,2826,cDRPY3FmL,DRc,2467,ES;TH;Rm,2218;-4888;-8483
316,6454,CngQ36,ewoFwJmYqy,3994,YDjN;ElAt,8202;1184
317,499,8Tj0v,3Weru3sw,95,eRm5auF;l5ylWwE,4384;-6691
318,3357,VEZsSXgN,Yc,-7111,9vUTXfR,-2281
319,8534,CPuAc4I1,W5JKWQ,809,MtC;VyB;BCn,406;-6292
320,-6125,wnsL6N,b,4948,iGdrK0B;HfNxknt;z3AeLHV,6906;4635
321,9327,CzENjpxb,hHcd,-6746,CN8Ub,-9599
322,4722,T9,Ux9ZY2zOc,9192,mnF,4261
323,3879,RdnNiMTN30,a4fSctRJvd,3396,3Z;Dh,938
324,3623,dxnKB6HM,m,-4891,NYZVZOpp2w,-4349;1083
325,-788,LPDtQo,cppjJSAH,-548,C55le;f7ALM;1oWIP,-9426
326,-4842,BI84aTvy,msJ8AqEI,3925,6lT4,-9002
327,-8510,pO7,vACTAt8,2388,1;K;q,-7211;1313
328,9712,c6F,Ncmmwv,3618,FnIL,-8724;-9077
329,-7301,b,Fx5Za,9382,DU,9650
330,-7470,MY1u6u,wB3fFIZ,-2205,sP;1E;6z,-9717;8356
331,3241,9qWrR5,aelMVED1t,-1952,rYRMoPXj;GWPsxbJA;uGdr3nDH,3726;1498
332,-3299,m27y,yh,-2874,aClDx6ce,3989;-1067;-9214
333,-8992,FRC8gEsza,ArboJi,2675,J1j,-8235
334,-3445,gK8Bn5,1UjPS,178,9h;4i;Kw,-8725
335,-6214,ysreeSzKE,IMKYdrE8X,578,d4;aS;Dq,-2470;-3141;-3901
336,3783,1Z7WrgJ3,dK1z,9706,hVMlhk;h9V2af,-6598
337,-3029,NEmC6,L8HcE8,-5566,vJE5zF;9U0DBk;VQYTPu,1613
